Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload,none,none,none,none,none,none,none,none,none,none,none
alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,none,none,none,none,none,none,none,none,none,none,none
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,none
tuberculosis,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,none,none
tuberculosis,chills,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,none,none
tuberculosis,chills,vomiting,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,none,none
tuberculosis,chills,vomiting,fatigue,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,none,none
tuberculosis,chills,vomiting,fatigue,weight_loss,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,none,none
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,none,none
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,none,none
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,none,none
common cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain
common cold,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,none
common cold,continuous_sneezing,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,none
common cold,continuous_sneezing,chills,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,none
common cold,continuous_sneezing,chills,fatigue,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,none
common cold,continuous_sneezing,chills,fatigue,cough,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,none
common cold,continuous_sneezing,chills,fatigue,cough,high_fever,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,none
common cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,none
common cold,continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain,none
pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,chest_pain,fast_heart_rate,rusty_sputum,none,none,none,none,none,none,none
pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,none,none,none,none,none,none
pneumonia,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,none,none,none,none,none,none,none
pneumonia,chills,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,none,none,none,none,none,none,none
pneumonia,chills,fatigue,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,none,none,none,none,none,none,none
pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,none,none,none,none,none,none,none
pneumonia,chills,fatigue,cough,high_fever,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,none,none,none,none,none,none,none
pneumonia,chills,fatigue,cough,high_fever,breathlessness,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,none,none,none,none,none,none,none
pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,phlegm,chest_pain,fast_heart_rate,rusty_sputum,none,none,none,none,none,none,none
dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,none,none,none,none,none,none,none,none,none,none,none,none
dimorphic hemmorhoids(piles),pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,none,none,none,none,none,none,none,none,none,none,none,none,none
dimorphic hemmorhoids(piles),constipation,pain_in_anal_region,bloody_stool,irritation_in_anus,none,none,none,none,none,none,none,none,none,none,none,none,none
dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus,none,none,none,none,none,none,none,none,none,none,none,none,none
dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,irritation_in_anus,none,none,none,none,none,none,none,none,none,none,none,none,none
dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,none,none,none,none,none,none,none,none,none,none,none,none,none
heart attack,vomiting,breathlessness,sweating,chest_pain,none,none,none,none,none,none,none,none,none,none,none,none,none
heart attack,breathlessness,sweating,chest_pain,none,none,none,none,none,none,none,none,none,none,none,none,none,none
heart attack,vomiting,sweating,chest_pain,none,none,none,none,none,none,none,none,none,none,none,none,none,none
heart attack,vomiting,breathlessness,chest_pain,none,none,none,none,none,none,none,none,none,none,none,none,none,none
heart attack,vomiting,breathlessness,sweating,none,none,none,none,none,none,none,none,none,none,none,none,none,none
varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,none,none,none,none,none,none,none,none,none,none
varicose veins,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,none,none,none,none,none,none,none,none,none,none,none
varicose veins,fatigue,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,none,none,none,none,none,none,none,none,none,none,none
varicose veins,fatigue,cramps,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,none,none,none,none,none,none,none,none,none,none,none
varicose veins,fatigue,cramps,bruising,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,none,none,none,none,none,none,none,none,none,none,none
varicose veins,fatigue,cramps,bruising,obesity,swollen_blood_vessels,prominent_veins_on_calf,none,none,none,none,none,none,none,none,none,none,none
varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,prominent_veins_on_calf,none,none,none,none,none,none,none,none,none,none,none
varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,none,none,none,none,none,none,none,none,none,none,none
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,none,none,none,none
hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,none,none,none,none,none
hypothyroidism,fatigue,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,none,none,none,none,none
hypothyroidism,fatigue,weight_gain,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,none,none,none,none,none
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,none,none,none,none,none
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,none,none,none,none,none
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,none,none,none,none,none
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,none,none,none,none,none
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,none,none,none,none,none,none
hyperthyroidism,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,none,none,none,none,none,none,none
hyperthyroidism,fatigue,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,none,none,none,none,none,none,none
hyperthyroidism,fatigue,mood_swings,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,none,none,none,none,none,none,none
hyperthyroidism,fatigue,mood_swings,weight_loss,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,none,none,none,none,none,none,none
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,none,none,none,none,none,none,none
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,none,none,none,none,none,none,none
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,none,none,none,none,none,none,none
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,muscle_weakness,irritability,abnormal_menstruation,none,none,none,none,none,none,none
hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,slurred_speech,irritability,palpitations,none,none,none,none,none,none
hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,none,none,none,none,none
hypoglycemia,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,none,none,none,none,none,none
hypoglycemia,vomiting,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,none,none,none,none,none,none
hypoglycemia,vomiting,fatigue,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,none,none,none,none,none,none
hypoglycemia,vomiting,fatigue,anxiety,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,none,none,none,none,none,none
hypoglycemia,vomiting,fatigue,anxiety,sweating,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,none,none,none,none,none,none
hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,none,none,none,none,none,none
hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,none,none,none,none,none,none
osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking,none,none,none,none,none,none,none,none,none,none,none
osteoarthristis,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking,none,none,none,none,none,none,none,none,none,none,none,none
osteoarthristis,joint_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking,none,none,none,none,none,none,none,none,none,none,none,none
osteoarthristis,joint_pain,neck_pain,hip_joint_pain,swelling_joints,painful_walking,none,none,none,none,none,none,none,none,none,none,none,none
osteoarthristis,joint_pain,neck_pain,knee_pain,swelling_joints,painful_walking,none,none,none,none,none,none,none,none,none,none,none,none
osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain,painful_walking,none,none,none,none,none,none,none,none,none,none,none,none
osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,none,none,none,none,none,none,none,none,none,none,none,none
arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking,none,none,none,none,none,none,none,none,none,none,none,none
arthritis,stiff_neck,swelling_joints,movement_stiffness,painful_walking,none,none,none,none,none,none,none,none,none,none,none,none,none
arthritis,muscle_weakness,swelling_joints,movement_stiffness,painful_walking,none,none,none,none,none,none,none,none,none,none,none,none,none
arthritis,muscle_weakness,stiff_neck,movement_stiffness,painful_walking,none,none,none,none,none,none,none,none,none,none,none,none,none
arthritis,muscle_weakness,stiff_neck,swelling_joints,painful_walking,none,none,none,none,none,none,none,none,none,none,none,none,none
arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,none,none,none,none,none,none,none,none,none,none,none,none,none
(vertigo) paroymsal  positional vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,none,none,none,none,none,none,none,none,none,none,none
(vertigo) paroymsal  positional vertigo,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,none,none,none,none,none,none,none,none,none,none,none,none
(vertigo) paroymsal  positional vertigo,vomiting,nausea,spinning_movements,loss_of_balance,unsteadiness,none,none,none,none,none,none,none,none,none,none,none,none
(vertigo) paroymsal  positional vertigo,vomiting,headache,spinning_movements,loss_of_balance,unsteadiness,none,none,none,none,none,none,none,none,none,none,none,none
(vertigo) paroymsal  positional vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,none,none,none,none,none,none,none,none,none,none,none,none
(vertigo) paroymsal  positional vertigo,vomiting,headache,nausea,spinning_movements,unsteadiness,none,none,none,none,none,none,none,none,none,none,none,none
(vertigo) paroymsal  positional vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none
acne,skin_rash,pus_filled_pimples,blackheads,scurring,none,none,none,none,none,none,none,none,none,none,none,none,none
acne,pus_filled_pimples,blackheads,scurring,none,none,none,none,none,none,none,none,none,none,none,none,none,none
acne,skin_rash,blackheads,scurring,none,none,none,none,none,none,none,none,none,none,none,none,none,none
acne,skin_rash,pus_filled_pimples,scurring,none,none,none,none,none,none,none,none,none,none,none,none,none,none
acne,skin_rash,pus_filled_pimples,blackheads,none,none,none,none,none,none,none,none,none,none,none,none,none,none
urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,none,none,none,none,none,none,none,none,none,none,none,none,none
urinary tract infection,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,none,none,none,none,none,none,none,none,none,none,none,none,none,none
urinary tract infection,burning_micturition,foul_smell_of urine,continuous_feel_of_urine,none,none,none,none,none,none,none,none,none,none,none,none,none,none
urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,none,none,none,none,none,none,none,none,none,none,none,none,none,none
urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,none,none,none,none,none,none,none,none,none,none,none,none,none,none
psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,none,none,none,none,none,none,none,none,none,none,none
psoriasis,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,none,none,none,none,none,none,none,none,none,none,none,none
psoriasis,skin_rash,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,none,none,none,none,none,none,none,none,none,none,none,none
psoriasis,skin_rash,joint_pain,silver_like_dusting,small_dents_in_nails,inflammatory_nails,none,none,none,none,none,none,none,none,none,none,none,none
psoriasis,skin_rash,joint_pain,skin_peeling,small_dents_in_nails,inflammatory_nails,none,none,none,none,none,none,none,none,none,none,none,none
psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,inflammatory_nails,none,none,none,none,none,none,none,none,none,none,none,none
psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,none,none,none,none,none,none,none,none,none,none,none,none
impetigo,skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze,none,none,none,none,none,none,none,none,none,none,none,none
impetigo,high_fever,blister,red_sore_around_nose,yellow_crust_ooze,none,none,none,none,none,none,none,none,none,none,none,none,none
impetigo,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze,none,none,none,none,none,none,none,none,none,none,none,none,none
impetigo,skin_rash,high_fever,red_sore_around_nose,yellow_crust_ooze,none,none,none,none,none,none,none,none,none,none,none,none,none
impetigo,skin_rash,high_fever,blister,yellow_crust_ooze,none,none,none,none,none,none,none,none,none,none,none,none,none
impetigo,skin_rash,high_fever,blister,red_sore_around_nose,none,none,none,none,none,none,none,none,none,none,none,none,none
